Class,True Positives,False Positives,True Negatives,False Negatives
b'Gentiana pneumonanthe',0,5,3532,5
b'Gentiana purpurea',0,5,3531,6
b'Gentiana pyrenaica',0,7,3530,5
b'Gentiana verna',0,5,3530,7
b'Gentianella campestris',0,1,3536,5
b'Gentianopsis ciliata',0,7,3532,3
b'Geranium columbinum',0,7,3529,6
b'Geranium dissectum',0,6,3528,8
b'Geranium molle',0,11,3525,6
b'Geranium nodosum',0,4,3536,2
b'Geranium phaeum',0,4,3533,5
b'Geranium pratense',0,6,3531,5
b'Geranium pusillum',0,4,3533,5
b'Geranium pyrenaicum',0,8,3529,5
b'Geranium robertianum',0,7,3530,5
b'Geranium rotundifolium',0,0,3535,7
b'Geranium sanguineum',0,5,3531,6
b'Geranium sylvaticum',0,9,3530,3
b'Geum rivale',0,6,3532,4
b'Geum urbanum',0,8,3524,10
b'Gladiolus italicus',0,5,3536,1
b'Glaucium flavum',0,3,3534,5
b'Glechoma hederacea',0,9,3527,6
b'Gleditsia triacanthos',0,2,3538,2
b'Globularia alypum',0,11,3523,8
b'Gymnadenia conopsea',0,4,3533,5
b'Gymnadenia nigra',0,5,3534,3
b'Helianthemum apenninum',0,7,3530,5
b'Helianthemum nummularium',0,4,3533,5
b'Helianthus annuus',0,8,3528,6
b'Heliotropium europaeum',0,8,3525,9
b'Helleborus foetidus',0,7,3524,11
b'Helleborus viridis',0,3,3531,8
b'Hemerocallis fulva',0,5,3524,13
b'Hibiscus rosa-sinensis',0,5,3530,7
b'Hibiscus syriacus',0,4,3532,6
b'Himantoglossum robertianum',0,7,3528,7
b'Hippocrepis comosa',0,7,3533,2
b'Hippocrepis emerus',0,4,3535,3
b'Hormathophylla spinosa',0,6,3531,5
b'Hyacinthoides non-scripta',0,10,3526,6
b'Hydrangea macrophylla',0,8,3529,5
b'Hylotelephium telephium',0,8,3530,4
b'Hyoscyamus albus',0,3,3533,6
b'Hyoseris radiata',0,5,3528,9
b'Hypericum androsaemum',0,3,3534,5
b'Hypericum perforatum',0,5,3532,5
b'Hypericum richeri',0,7,3528,7
b'Ilex aquifolium',0,8,3528,6
b'Impatiens balfouri',0,6,3532,4
b'Impatiens glandulifera',0,7,3532,3
b'Iris foetidissima',1,7,3529,5
b'Iris lutescens',0,6,3531,5
b'Jacobaea erucifolia',0,5,3531,6
b'Jacobaea vulgaris',0,5,3529,8
b'Jasminum fruticans',0,7,3528,7
b'Juglans nigra',0,5,3534,3
b'Juglans regia',0,4,3535,3
b'Kerria japonica',0,7,3527,8
b'Knautia arvensis',0,3,3531,8
b'Knautia maxima',0,5,3530,7
b'Laburnum anagyroides',0,8,3524,10
b'Lactuca plumieri',0,9,3525,8
b'Lactuca serriola',0,7,3528,7
b'Lamium album',0,7,3528,7
b'Lamium amplexicaule',0,7,3525,10
b'Lamium maculatum',0,9,3529,4
b'Lamium purpureum',0,4,3534,4
b'Lantana camara',1,6,3527,8
b'Lapsana communis',0,5,3532,5
b'Lathyrus cicera',0,5,3528,9
b'Lathyrus latifolius',0,6,3527,9
b'Lathyrus sylvestris',0,8,3529,5
b'Laurus nobilis',0,7,3530,5
b'Lavandula stoechas',0,5,3531,6
b'Legousia speculum-veneris',0,9,3524,9
b'Lepidium draba',0,8,3527,7
b'Leucanthemopsis alpina',0,8,3527,7
b'Leucanthemum vulgare',0,7,3532,3
b'Ligustrum vulgare',0,5,3530,7
b'Lilium martagon',0,6,3531,5
b'Limodorum abortivum',0,9,3525,8
b'Limoniastrum monopetalum',0,5,3534,3
b'Limonium narbonense',0,2,3536,4
b'Linaria alpina',0,3,3530,9
b'Linaria repens',0,1,3533,8
b'Linaria vulgaris',0,9,3525,8
b'Linum campanulatum',0,7,3528,7
b'Linum narbonense',0,9,3528,5
b'Linum suffruticosum',0,5,3532,5
b'Linum usitatissimum',0,4,3530,8
b'Liquidambar styraciflua',0,9,3527,6
b'Liriodendron tulipifera',0,6,3529,7
b'Lithodora fruticosa',0,3,3533,6
b'Lithospermum officinale',0,7,3527,8
b'Lobularia maritima',0,8,3525,9
b'Lonicera alpigena',0,3,3536,3
b'Lonicera etrusca',0,7,3526,9
b'Lonicera implexa',0,5,3529,8
b'Lonicera periclymenum',0,5,3530,7
b'Lonicera xylosteum',0,3,3530,9
b'Lotus corniculatus',0,10,3522,10
b'Lunaria annua',0,4,3526,12
b'Lychnis coronaria',0,9,3528,5
b'Lychnis flos-cuculi',0,5,3532,5
b'Lycopsis arvensis',0,3,3533,6
b'Lycopus europaeus',0,6,3531,5
b'Lysimachia arvensis',0,3,3535,4
b'Lysimachia nemorum',0,9,3527,6
b'Lysimachia vulgaris',0,8,3525,9
b'Lythrum salicaria',0,7,3529,6
b'Magnolia grandiflora',0,8,3530,4
b'Malus domestica',0,9,3526,7
b'Malus sylvestris',0,11,3525,6
b'Malva arborea',0,5,3529,8
b'Malva moschata',0,7,3530,5
b'Malva neglecta',0,8,3526,8
b'Malva setigera',1,2,3536,3
b'Malva sylvestris',0,8,3525,9
b'Matricaria chamomilla',0,7,3530,5
b'Matthiola incana',0,2,3536,4
b'Meconopsis cambrica',0,7,3529,6
b'Medicago sativa',0,4,3530,8
b'Melissa officinalis',0,7,3529,6
b'Melittis melissophyllum',0,4,3528,10
b'Mentha aquatica',0,6,3528,8
b'Mentha arvensis',0,7,3532,3
b'Mentha longifolia',0,9,3527,6
b'Microthlaspi perfoliatum',0,3,3533,6
b'Mirabilis jalapa',0,11,3525,6
b'Misopates orontium',0,5,3532,5
b'Morus alba',0,1,3536,5
b'Muscari comosum',0,4,3533,5
b'Muscari neglectum',0,7,3528,7
b'Myosotis alpestris',0,4,3532,6
b'Myosotis arvensis',0,2,3534,6
b'Myosotis scorpioides',0,6,3531,5
b'Myosoton aquaticum',0,3,3531,8
b'Narcissus assoanus',0,0,3532,10
b'Narcissus dubius',0,5,3530,7
b'Narcissus pseudonarcissus',0,15,3521,6
b'Narcissus tazetta',0,8,3529,5
b'Nasturtium officinale',0,10,3521,11
b'Neotinea ustulata',0,8,3529,5
b'Nerium oleander',0,14,3522,6
b'Nigella damascena',0,3,3530,9
b'Odontites vernus',0,2,3536,4
b'Oenothera biennis',0,9,3527,6
b'Oenothera glazioviana',0,8,3529,5
b'Olea europaea',0,8,3526,8
b'Onobrychis viciifolia',0,7,3520,15
b'Ononis reclinata',0,4,3535,3
b'Ononis spinosa',0,8,3529,5
b'Ophrys apifera',0,2,3535,5
b'Ophrys arachnitiformis',0,8,3532,2
b'Ophrys aranifera',0,12,3522,8
b'Ophrys bertolonii',0,5,3533,4
b'Ophrys fuciflora',0,6,3534,2
b'Ophrys insectifera',0,5,3530,7
b'Ophrys lutea',0,6,3530,6
b'Ophrys passionis',0,8,3533,1
b'Ophrys scolopax',0,6,3529,7
b'Ophrys virescens',0,3,3533,6
b'Opuntia ficus-indica',0,6,3533,3
b'Orchis mascula',0,3,3536,3
b'Orchis provincialis',0,10,3526,6
b'Orchis purpurea',0,8,3530,4
b'Origanum vulgare',0,5,3530,7
b'Ornithogalum umbellatum',0,2,3537,3
b'Orobanche caryophyllacea',0,5,3533,4
b'Orobanche gracilis',0,6,3531,5
b'Orobanche hederae',0,5,3530,7
b'Orobanche minor',0,6,3528,8
b'Ostrya carpinifolia',0,1,3535,6
b'Oxalis articulata',0,8,3529,5
b'Oxalis corniculata',0,6,3526,10
b'Paliurus spina-christi',0,5,3530,7
b'Papaver rhoeas',0,15,3513,14
b'Papaver somniferum',0,4,3529,9
b'Pardoglossum cheirifolium',0,5,3531,6
b'Parnassia palustris',0,8,3528,6
b'Parthenocissus tricuspidata',0,4,3532,6
b'Passiflora caerulea',0,5,3533,4
b'Paulownia tomentosa',0,4,3527,11
b'Perovskia atriplicifolia',0,10,3526,6
b'Persicaria maculosa',0,3,3535,4
b'Philadelphus coronarius',0,4,3532,6
b'Phlomis fruticosa',0,3,3532,7
b'Phyteuma hemisphaericum',0,5,3528,9
b'Pilosella aurantiaca',0,7,3528,7
b'Pinguicula grandiflora',0,7,3531,4
b'Pinus halepensis',0,7,3532,3
b'Pistacia lentiscus',0,3,3535,4
b'Pistacia terebinthus',0,6,3529,7
b'Pittosporum tobira',0,6,3530,6
